Country,City,Province,Start Station Name,Count,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,,,,,,,,,,,,,,,,,,,,Start Station Name,Count
Canada,Toronto,Ontario,1 Market St - SMART,7395,43.646907,-79.370927,1,rooftop,1,Market St,,,Toronto,ON,,M5E,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,1 Market St - SMART,7395
Canada,Toronto,Ontario,111 Bond St (North of Dundas St E)  - SMART,4596,43.657105,-79.378347,1,rooftop,111,Bond St,,,Toronto,ON,,M5B,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,111 Bond St (North of Dundas St E)  - SMART,4596
Canada,Toronto,Ontario,12 Harbour St,8183,43.642793,-79.37618,1,rooftop,12,Harbour St,,,Toronto,ON,,M5J,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,12 Harbour St,8183
Canada,Toronto,Ontario,128 Sterling Ave - SMART,4259,43.65371,-79.445297,1,rooftop,128,Sterling Rd,,,Toronto,ON,,M6R,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,128 Sterling Ave - SMART,4259
Canada,Toronto,Ontario,1303 Yonge St - SMART,3913,43.684657,-79.392318,1,rooftop,1303,Yonge St,,,Toronto,ON,,M4T,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,1303 Yonge St - SMART,3913
Canada,Toronto,Ontario,135 Queens Wharf  - SMART,4203,43.639967,-79.399361,1,rooftop,135,Queens Wharf Rd,,,Toronto,ON,,M5V,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,135 Queens Wharf  - SMART,4203
Canada,Toronto,Ontario,1525 Dundas St,7679,43.649164,-79.432419,0.9,rooftop,1525,Dundas St W,,,Toronto,ON,,M6K,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,1525 Dundas St,7679
Canada,Toronto,Ontario,161 Bleecker St (South of Wellesley),5917,43.666873,-79.373039,1,range_interpolation,161,Bleecker St,,,Toronto,ON,,M4X,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,161 Bleecker St (South of Wellesley),5917
Canada,Toronto,Ontario,190 Queens Quay E,10440,43.645587,-79.365007,1,rooftop,190,Queens Quay E,,,Toronto,ON,,M5A,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,190 Queens Quay E,10440
Canada,Toronto,Ontario,20 Charles St E,12885,43.669076,-79.385134,1,rooftop,20,Charles St E,,,Toronto,ON,,M4Y,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,20 Charles St E,12885
Canada,Toronto,Ontario,200 Bloor St. E.,7193,43.672461,-79.382319,1,rooftop,200,Bloor St E,,,Toronto,ON,,M4W,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,200 Bloor St. E.,7193
Canada,Toronto,Ontario,25 Booth Ave,3928,43.654615,-79.340953,1,rooftop,25,Booth Ave,,,Toronto,ON,,M4M,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,25 Booth Ave,3928
Canada,Toronto,Ontario,25 York St Â– Union Station South,5275,43.643432,-79.381214,1,rooftop,25,York St,,,Toronto,ON,,M5J,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,25 York St  Union Station South,5275
Canada,Toronto,Ontario,25 York St â€“ Union Station South,1167,43.643432,-79.381214,1,rooftop,25,York St,,,Toronto,ON,,M5J,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,25 York St – Union Station South,1167
Canada,Toronto,Ontario,285 Victoria St,8934,43.656913,-79.379514,1,rooftop,285,Victoria St,,,Toronto,ON,,M5B,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,285 Victoria St,8934
Canada,Toronto,Ontario,324 Cherry St,8038,43.648429,-79.355625,1,rooftop,324,Cherry St,,,Toronto,ON,,M5A,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,324 Cherry St,8038
Canada,Toronto,Ontario,406 Oakwood Ave,1096,43.68827,-79.439448,0.99,rooftop,406X,Oakwood Ave,,,York,ON,,M6E,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,406 Oakwood Ave,1096
Canada,Toronto,Ontario,424 Wellington St W,8206,43.643834,-79.39665,1,rooftop,424,Wellington St W,,,Toronto,ON,,M5V,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,424 Wellington St W,8206
Canada,Toronto,Ontario,439 Sherbourne St,12733,43.66628,-79.373695,1,rooftop,439,Sherbourne St,,,Toronto,ON,,M4X,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,439 Sherbourne St,12733
Canada,Toronto,Ontario,457 King St. W. at Spadina,9991,43.645016,-79.396814,1,range_interpolation,457,King St W,,,Toronto,ON,,M5V,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,457 King St. W. at Spadina,9991
Canada,Toronto,Ontario,51 Parliament St,4776,43.651951,-79.362142,1,rooftop,51,Parliament St,,,Toronto,ON,,M5A,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,51 Parliament St,4776
Canada,Toronto,Ontario,519 Church St - SMART,2878,43.666552,-79.380943,1,rooftop,519,Church St,,,Toronto,ON,,M4Y,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,519 Church St - SMART,2878
Canada,Toronto,Ontario,541 Huron St - SMART,9651,43.670576,-79.402422,1,rooftop,541,Huron St,,,Toronto,ON,,M5R,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,541 Huron St - SMART,9651
Canada,Toronto,Ontario,555 Bloor St East,58,43.672001,-79.373402,1,rooftop,555,Bloor St E,,,Toronto,ON,,M4X,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,555 Bloor St East,58
Canada,Toronto,Ontario,640 Bloor Street E,4813,43.67407,-79.368074,1,rooftop,640,Bloor St E,,,Toronto,ON,,M4W,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,640 Bloor Street E,4813
Canada,Toronto,Ontario,80 Clinton St (North of College),12306,43.656208,-79.414631,1,rooftop,80,Clinton St,,,Toronto,ON,,M6G,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,80 Clinton St (North of College),12306
Canada,Toronto,Ontario,909 Yonge St,5491,43.675131,-79.388413,1,rooftop,909,Yonge St,,,Toronto,ON,,M4W,CA,City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto),,,,,,,,,,,,,,,,,,,,909 Yonge St,5491
Canada,Toronto,Ontario,Adelaide St W / Brant St,7316,43.646228,-79.398142,1,intersection,,Adelaide St W,,,Toronto,ON,,M5V,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Adelaide St W / Brant St,7316
Canada,Toronto,Ontario,Adelaide St W / Strachan Ave,10991,43.64333,-79.41244,1,intersection,,Strachan Ave,,,Toronto,ON,,M6J,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Adelaide St W / Strachan Ave,10991
Canada,Toronto,Ontario,Alameda Ave / Vaughan Rd - SMART,827,43.690811,-79.437506,1,intersection,,Alameda Ave,,,York,ON,,M6C,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Alameda Ave / Vaughan Rd - SMART,827
Canada,Toronto,Ontario,Alma Ave / Gladstone Ave SMART,6535,43.644915,-79.428037,1,intersection,,Gladstone Ave,,,Toronto,ON,,M6J,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Alma Ave / Gladstone Ave SMART,6535
Canada,Toronto,Ontario,Alton Ave / Dundas St E (Greenwood Park),4589,43.667276,-79.329369,1,intersection,,Dundas St E,,,Toronto,ON,,M4L,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Alton Ave / Dundas St E (Greenwood Park),4589
Canada,Toronto,Ontario,Alvin Ave / St Clair Ave E,2854,43.688236,-79.393364,0.96,intersection,,St Clair Ave E,,,Toronto,ON,,M4T,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Alvin Ave / St Clair Ave E,2854
Canada,Toronto,Ontario,Amelia St. / Sumach St.,4370,43.668473,-79.363658,1,intersection,,Amelia St,,,Toronto,ON,,M4X,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Amelia St. / Sumach St.,4370
Canada,Toronto,Ontario,Amos Waites Park,2360,43.705433,-79.322472,1,street_center,,White Pine Ave,,,East York,ON,,M4B,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Amos Waites Park,2360
Canada,Toronto,Ontario,Amroth Ave / Danforth Ave,2047,43.685942,-79.311673,1,intersection,,Danforth Ave,,,Toronto,ON,,M4C,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Amroth Ave / Danforth Ave,2047
Canada,Toronto,Ontario,Annette St / Dundas W,2761,43.664441,-79.458807,0.8,intersection,,Dundas St W,,,Toronto,ON,,M6P,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Annette St / Dundas W,2761
Canada,Toronto,Ontario,Annette St / Jane St,2148,43.657226,-79.487698,0.97,intersection,,Jane St,,,Toronto,ON,,M6S,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Annette St / Jane St,2148
Canada,Toronto,Ontario,Antler St / Campbell Ave - SMART,1658,43.664166,-79.449293,1,intersection,,Antler St,,,Toronto,ON,,M6P,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Antler St / Campbell Ave - SMART,1658
Canada,Toronto,Ontario,Augusta Ave / Denison Sq,12970,43.653878,-79.401771,1,intersection,,Augusta Ave,,,Toronto,ON,,M5T,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Augusta Ave / Denison Sq,12970
Canada,Toronto,Ontario,Augusta Ave / Dundas St W,15259,43.652267,-79.401131,0.98,intersection,,Dundas St W,,,Toronto,ON,,M5T,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Augusta Ave / Dundas St W,15259
Canada,Toronto,Ontario,Baldwin Ave / Spadina Ave - SMART,28722,43.655121,-79.399021,0.95,intersection,,Spadina Ave,,,Toronto,ON,,M5T,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Baldwin Ave / Spadina Ave - SMART,28722
Canada,Toronto,Ontario,Baldwin St / Henry St,13457,43.656004,-79.393505,1,intersection,,Henry St,,,Toronto,ON,,M5T,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Baldwin St / Henry St,13457
Canada,Toronto,Ontario,Balliol St / Yonge St  SMART,2110,43.695654,-79.396096,0.94,intersection,,Yonge St,,,Toronto,ON,,M4T,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Balliol St / Yonge St  SMART,2110
Canada,Toronto,Ontario,Bartlett Parkette,7783,43.663511,-79.434184,1,point,,Bartlett Ave,,,Toronto,ON,,M6H,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bartlett Parkette,7783
Canada,Toronto,Ontario,Barton St / Howland St - SMART,5329,43.668495,-79.409768,0.8,intersection,,Howland Ave,,,Toronto,ON,,M5R,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Barton St / Howland St - SMART,5329
Canada,Toronto,Ontario,Bathurst St / Adelaide St W,27950,43.644866,-79.403066,1,intersection,,Bathurst St,,,Toronto,ON,,M5V,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bathurst St / Adelaide St W,27950
Canada,Toronto,Ontario,Bathurst St / Dundas St W,15093,43.652181,-79.406602,0.95,intersection,,Dundas St W,,,Toronto,ON,,M6J,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bathurst St / Dundas St W,15093
Canada,Toronto,Ontario,Bathurst St / Fort York Blvd,14163,43.710134,-79.427409,0.9,street_center,,Bathurst St,,,North York,ON,,M6B,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bathurst St / Fort York Blvd,14163
Canada,Toronto,Ontario,Bathurst St / Lennox St,11737,43.663832,-79.410682,1,intersection,,Bathurst St,,,Toronto,ON,,M5S,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bathurst St / Lennox St,11737
Canada,Toronto,Ontario,Bathurst St/Queens Quay(Billy Bishop Airport),20921,43.647192,-79.403982,0.8,intersection,,Bathurst St,,,Toronto,ON,,M5V,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bathurst St/Queens Quay(Billy Bishop Airport),20921
Canada,Toronto,Ontario,Bathurst Subway Station,8330,43.724215,-79.430902,0.95,point,,Bathurst St,,,North York,ON,,M6A,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bathurst Subway Station,8330
Canada,Toronto,Ontario,Bay St / Albert St,17915,43.651159,-79.38132,0.96,intersection,,Bay St,,,Toronto,ON,,M5H,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / Albert St,17915
Canada,Toronto,Ontario,Bay St / Bloor St W (East Side),16566,43.669661,-79.389494,1,intersection,,Bloor St W,,,Toronto,ON,,M4W,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / Bloor St W (East Side),16566
Canada,Toronto,Ontario,Bay St / Bloor St W (West Side),12432,43.669661,-79.389494,1,intersection,,Bloor St W,,,Toronto,ON,,M4W,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / Bloor St W (West Side),12432
Canada,Toronto,Ontario,Bay St / Charles St - SMART,17595,43.668193,-79.388863,0.8,intersection,,Bay St,,,Toronto,ON,,M5S,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / Charles St - SMART,17595
Canada,Toronto,Ontario,Bay St / College St (East Side),43803,43.660809,-79.385849,1,intersection,,Bay St,,,Toronto,ON,,M5S,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / College St (East Side),43803
Canada,Toronto,Ontario,Bay St / College St (West Side) - SMART,15593,43.660809,-79.385849,1,intersection,,Bay St,,,Toronto,ON,,M5S,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / College St (West Side) - SMART,15593
Canada,Toronto,Ontario,Bay St / Queens Quay W (Ferry Terminal),32947,43.641146,-79.376829,1,intersection,,Bay St,,,Toronto,ON,,M5J,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / Queens Quay W (Ferry Terminal),32947
Canada,Toronto,Ontario,Bay St / Scollard St,6058,43.672133,-79.390519,1,intersection,,Bay St,,,Toronto,ON,,M5R,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / Scollard St,6058
Canada,Toronto,Ontario,Bay St / St. Joseph St,20277,43.665649,-79.387695,1,intersection,,Bay St,,,Toronto,ON,,M5S,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / St. Joseph St,20277
Canada,Toronto,Ontario,Bay St / Wellesley St W,37605,43.664367,-79.387155,1,intersection,,Bay St,,,Toronto,ON,,M5S,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bay St / Wellesley St W,37605
Canada,Toronto,Ontario,Bayview Ave / Lawren Harris Square,10926,43.657477,-79.354617,0.96,intersection,,Bayview Ave,,,Toronto,ON,,M5A,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Bayview Ave / Lawren Harris Square,10926
Canada,Toronto,Ontario,Beaty Ave / Queen St W,5766,43.639683,-79.441163,1,intersection,,Queen St W,,,Toronto,ON,,M6R,CA,CanVec+ by Natural Resources Canada,,,,,,,,,,,,,,,,,,,,Beaty Ave / Queen St W,5766
