_id,OBJECTID,SEGMENT_ID,INSTALLED,UPGRADED,PRE_AMALGAMATION,STREET_NAME,FROM_STREET,TO_STREET,ROADCLASS,CNPCLASS,SURFACE,OWNER,DIR_LOWORDER,INFRA_LOWORDER,SEPA_LOWORDER,SEPB_LOWORDER,ORIG_LOWORDER_INFRA,DIR_HIGHORDER,INFRA_HIGHORDER,SEPA_HIGHORDER,SEPB_HIGHORDER,ORIG_HIGHORDER,BYLAWED,EDITOR,LAST_EDIT_DATE,UPGRADE_DESCRIPTION,CONVERTED,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2001,2021, ,Kilbarry Rd,Highbourne Rd,Oriole Pkwy, , , , , ,Sharrows - Wayfinding, , , , ,Sharrows - Wayfinding, , , , , ,, ,2007,"{'type': 'MultiLineString', 'coordinates': [[[-79.4035069136297, 43.6952595244941], [-79.4030944749977, 43.6953493145039], [-79.4024035584621, 43.6954945385725]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2001,2009, ,Martin Goodman / Waterfront Trl,Lake Shore Blvd W,Martin Goodman Trl Branch, , , , , ,Multi-Use Trail, , , , ,Multi-Use Trail, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4036386937994, 43.6349938275931], [-79.4035474364103, 43.635190601919], [-79.4034584014752, 43.6353457826448], [-79.403361155957, 43.6354890115195], [-79.4032771599716, 43.6355773250736], [-79.4031498037583, 43.6357397192328], [-79.4031455665074, 43.6357466017015]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,2001,2011, ,Gatineau Hydro Corridor Trl,Givendale Rd,Kennedy Rd, , , , , ,Multi-Use Trail, , , , ,Multi-Use Trail, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.2752236011477, 43.7415816548541], [-79.2751805503598, 43.7415967372297], [-79.2751533001338, 43.7416062969236], [-79.2751007763987, 43.7416147447416], [-79.2750508969862, 43.7416199122966], [-79.2749632260792, 43.7416281648569], [-79.2749191261616, 43.7416382583959], [-79.2748570531125, 43.7416637625994], [-79.2747963832746, 43.7416891795217], [-79.2747560972967, 43.7417085427611], [-79.2746835798639, 43.7417414432874], [-79.2745654325584, 43.7417917521395], [-79.274500967337, 43.7418227241686], [-79.2744602895984, 43.7418571005545], [-79.2744363852563, 43.7418848041243], [-79.2743824715115, 43.7419624501971], [-79.2743754355852, 43.7419680980717], [-79.2743624966432, 43.7419818713898], [-79.2743421267961, 43.7419973672702], [-79.2743067096702, 43.7420094939858], [-79.2742602015608, 43.7420160720415], [-79.2741948242123, 43.7420187512819], [-79.2740747400961, 43.7420258859794], [-79.2740287082254, 43.7420345711661], [-79.2739707886619, 43.7420514779379], [-79.2734620617214, 43.742269875356], [-79.2733483447727, 43.7423168702782], [-79.2732014071482, 43.7423794072762], [-79.2729782581312, 43.7424825862339], [-79.2729030620889, 43.7425174335686], [-79.2728437160305, 43.7425403587445], [-79.2727957352973, 43.7425553584116], [-79.2727167451717, 43.7425724026846], [-79.2724730320271, 43.7426172029023], [-79.2723529266005, 43.7426426982203], [-79.2722497931888, 43.7426550854615]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,2001,2011, ,G Ross Lord Park Trl,Dufferin St,G Ross Lord Park Trl Branch, , , , , ,Multi-Use Trail, , , , ,Multi-Use Trail, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4677191149987, 43.7720763078272], [-79.4675874384756, 43.7720891602351], [-79.4675030782832, 43.7720978224085], [-79.4674897114884, 43.7720998258679], [-79.4674768033918, 43.7721034946724], [-79.4674680434071, 43.7721084968293], [-79.4674657304404, 43.7721131767787], [-79.4674657277225, 43.7721181904289], [-79.4674681429408, 43.7721311167947], [-79.467479199513, 43.7722204385381], [-79.4674800396752, 43.7722516908346], [-79.4674817442752, 43.7722923225943], [-79.4674817171829, 43.7723423240775], [-79.4674808472137, 43.7723660779134], [-79.4674765088762, 43.7723948264107], [-79.467461781207, 43.7725010900114], [-79.4674460751748, 43.7726476065527], [-79.4674552555477, 43.7727150729204], [-79.4675111351066, 43.7729787060144], [-79.4675439863348, 43.7731249393107], [-79.4675729833765, 43.7732087844118], [-79.4675950620609, 43.773268576425], [-79.4676142819255, 43.7733087270771], [-79.4676302896896, 43.773339326578], [-79.4676648390676, 43.7733779783667], [-79.4677292791363, 43.7734332817454], [-79.4678191843898, 43.7735116262454], [-79.467857372963, 43.7735515121592], [-79.4678894308129, 43.7736039979707], [-79.4679087450293, 43.7736541128886], [-79.4679184597233, 43.7736992744673], [-79.4679257130617, 43.7737478287937], [-79.4679256921926, 43.7737868758467], [-79.4679157845432, 43.7738470098566], [-79.4679014665265, 43.7739081237536], [-79.4678894471799, 43.7739448631368], [-79.4678733103136, 43.7739692427604], [-79.4678419420284, 43.7739972905728], [-79.4678117438064, 43.774020829122], [-79.4677739296705, 43.7740465347969], [-79.4677149092275, 43.7740755829046], [-79.4675844237764, 43.7741289858921], [-79.4673026551337, 43.7742402680511], [-79.467265141119, 43.7742616710855], [-79.4672437290109, 43.7742778130416], [-79.4672295851906, 43.774291463755], [-79.4672001270518, 43.7743238865037], [-79.4671445111328, 43.774395735833], [-79.4671205321768, 43.7744261258722], [-79.4671010874734, 43.7744561661659], [-79.4670916473588, 43.7744775052106], [-79.4670845632363, 43.7745065229268], [-79.4670810208313, 43.7745329763304], [-79.467079823399, 43.7745645610733], [-79.4670809866483, 43.7745952913853], [-79.4670874017229, 43.7746990046534], [-79.4670920418669, 43.7748227720027], [-79.4670962527341, 43.7749591948626], [-79.4670966302977, 43.7750182336076], [-79.4670978125404, 43.7750370103764], [-79.4671001519256, 43.775052376037], [-79.4671107378335, 43.7750711555121], [-79.4671236858504, 43.7750865242243], [-79.4671413552777, 43.7751001840714], [-79.4671578345088, 43.7751095770219], [-79.4671822747718, 43.7751220056485]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,2001,2012, ,Etobicoke Creek Trl,Etobicoke Creek Trl Branch,Forty Third St, , , , , ,Multi-Use Trail - Entrance, , , , ,Multi-Use Trail - Entrance, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.5481155366534, 43.5902679719901], [-79.5480725341285, 43.5902622381496], [-79.5480179645838, 43.5902562751139], [-79.54794898103, 43.5902518123401], [-79.5478820402866, 43.5902466015483], [-79.5478418741862, 43.5902413795161], [-79.5477955378006, 43.5902324154437], [-79.547737853368, 43.590218217244], [-79.5476565104399, 43.5901980429111], [-79.5475390983499, 43.5901696561932], [-79.5473815321705, 43.5901352910331], [-79.5473104730228, 43.5901210981598], [-79.5472486819561, 43.5901128963823], [-79.5471879199524, 43.5901061793869], [-79.5471158529732, 43.590101717383], [-79.5470571485203, 43.5900972498342], [-79.5470190542426, 43.5900965183868], [-79.5469881563288, 43.5900972782109], [-79.5469171130222, 43.5901033023577], [-79.5468625412189, 43.5901100578292], [-79.5468265090859, 43.5901175528035], [-79.5467865440136, 43.5901318094697]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,2001,2012, ,Marie Curtis Park Trl,Waterfront Trl,Forty Second St, , , , , ,Multi-Use Trail, , , , ,Multi-Use Trail, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.5430542283657, 43.58695658908], [-79.5430762759347, 43.5870502769864], [-79.5430801892235, 43.5871024929886], [-79.5430724690165, 43.587164596978], [-79.5430588970135, 43.587199887818], [-79.5430433901415, 43.5872309486978], [-79.5430259319908, 43.5872521267056], [-79.5429929374473, 43.5872803676996], [-79.5429521987686, 43.5873198994256], [-79.5428712222906, 43.587389538116], [-79.5428241189544, 43.587430026337], [-79.5427950116832, 43.587456861589], [-79.5427756215274, 43.5874780312795], [-79.542761416804, 43.58751203511], [-79.5427554327272, 43.5875431013883], [-79.5427554557468, 43.5875756236565], [-79.5427582297541, 43.5876107103118], [-79.5427796401556, 43.5876968012705], [-79.5427896497728, 43.5877368540227], [-79.5428088215743, 43.5877744189403], [-79.5428360604475, 43.5878717865328], [-79.5428623940179, 43.5879846639718]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,2001,2012, ,West Don River Trl,West Don River Trl,C N R, , , , , ,Multi-Use Trail, , , , ,Multi-Use Trail, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3355504786636, 43.7050279918099], [-79.3354509908324, 43.705010602196], [-79.3353967840403, 43.7050004787289], [-79.3353656566279, 43.7049945740715], [-79.3353287495035, 43.7049878239611], [-79.3352883897948, 43.70497772039], [-79.3352595794149, 43.7049684705689], [-79.3352215491254, 43.704955030859], [-79.3351869659349, 43.7049424242239], [-79.3351581431798, 43.7049331743592], [-79.3351293351356, 43.7049230873901], [-79.3351016548444, 43.7049180247512], [-79.3350497468512, 43.7049112529092], [-79.3350209181986, 43.7049086909476], [-79.3349897623899, 43.7049086459758], [-79.3349597582035, 43.7049094397766], [-79.3349401323955, 43.704912759912], [-79.3349066650732, 43.7049185714085], [-79.3348720176307, 43.704929403901], [-79.334839664225, 43.7049452624081], [-79.3348015306473, 43.7049694747354], [-79.3347575874111, 43.7050037330735], [-79.334695118419, 43.7050563632071], [-79.334645390243, 43.7051006585562], [-79.3346129975855, 43.7051307389533], [-79.3345956302977, 43.7051474561913], [-79.3345805970669, 43.7051591540941], [-79.3345598066188, 43.7051708436624], [-79.3345297585467, 43.7051875425361], [-79.3344846910384, 43.7052109076003], [-79.3344546645478, 43.7052242580119], [-79.3344250755129, 43.705236447885], [-79.3343697379691, 43.7052539471995], [-79.3341976126178, 43.7052822857008], [-79.3341376339936, 43.7053179427391], [-79.3338793191159, 43.7054780963165], [-79.333683254203, 43.7055886078682], [-79.3335115570332, 43.7057307670434], [-79.3334713104871, 43.7057603946115], [-79.3333976748675, 43.705803178371], [-79.3333643178345, 43.7058047769805], [-79.3333502292865, 43.7056365676732]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,2001,2021, ,Bloor St E,Parliament St,Castle Frank Rd, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,, ,<Null>,"{'type': 'MultiLineString', 'coordinates': [[[-79.3712321518823, 43.6718931380673], [-79.371194942195, 43.671902097472], [-79.3711577393521, 43.6719020555462], [-79.3711205144774, 43.6719065142465], [-79.3710833047654, 43.6719154736149], [-79.3710464767074, 43.6719199327386], [-79.3710100454744, 43.6719243922983], [-79.3709735922125, 43.6719333434832], [-79.3709371609661, 43.6719378030195], [-79.3708301572158, 43.6719646861358], [-79.3707952540038, 43.6719736480166], [-79.3707603411236, 43.6719871105388], [-79.3707258471202, 43.671996072861], [-79.3706971470973, 43.6720095423898], [-79.3699848093236, 43.6725263376393], [-79.369916694932, 43.6725757494329], [-79.3688335742863, 43.6733306409999], [-79.3682041043128, 43.6737754914982]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,2001,2015, ,Martin Goodman / Waterfront Trl,Ontario Place Blvd,Remembrance Dr, , , , , ,Multi-Use Trail, , , , ,Multi-Use Trail, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4108231598162, 43.6323149760455], [-79.410738796943, 43.6323266210126], [-79.4106457010825, 43.6323355676765], [-79.4105587992405, 43.6323377590675], [-79.4105091726649, 43.6323332105336], [-79.4104502243377, 43.6323218946331], [-79.4103633583401, 43.6323083154695], [-79.4102889089876, 43.6323037473738], [-79.4102175364153, 43.6322969312988], [-79.4101275555091, 43.632294619249], [-79.4100499787867, 43.6323013182786], [-79.4099723862953, 43.6323102675904], [-79.4099010216876, 43.6323147300648], [-79.4098389651826, 43.6323101714427], [-79.4097675960208, 43.6323011047421], [-79.4097148724405, 43.6322875340267], [-79.409677674782, 43.6322672335143], [-79.409631178043, 43.6322333875494], [-79.4095753946499, 43.6321860051317], [-79.4095196090797, 43.6321318716425], [-79.4094731159251, 43.6320957662666], [-79.4094390200652, 43.6320731997818], [-79.4094049073023, 43.6320619030134], [-79.4093614785738, 43.6320483485014], [-79.4093025273572, 43.6320392823537], [-79.4092621956815, 43.6320347496536], [-79.409221853837, 43.6320369769749], [-79.4091659962626, 43.6320391829533], [-79.4091070043061, 43.6320571748499], [-79.4090231884081, 43.6320841483531], [-79.4089610811594, 43.6321134074349], [-79.4089020708433, 43.6321516703402], [-79.408874001121, 43.6321762937732]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,2001,2015, ,Martin Goodman / Waterfront Trl,Martin Goodman Trl Branch,Lower Don River Trl, , , , , ,Multi-Use Trail, , , , ,Multi-Use Trail, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3607883021596, 43.6476737048163], [-79.3607298703271, 43.6476992875323], [-79.3606551543623, 43.6477283879061], [-79.3605804307389, 43.6477554089064], [-79.3604282745108, 43.6478068820639], [-79.3603035909845, 43.6478515565587], [-79.3601559672143, 43.6478994163432], [-79.3599762537527, 43.6479562650028], [-79.3597880870362, 43.6480179277424], [-79.3596551289323, 43.6480649587374], [-79.3595381542433, 43.648104493079], [-79.359385008468, 43.648154289375], [-79.3593129211888, 43.6481772531725], [-79.3592311769423, 43.6482003670578], [-79.3591378960853, 43.6482269772012], [-79.358985631476, 43.6482601575302], [-79.358850592365, 43.6482954472426], [-79.3587116586772, 43.648331605114], [-79.3585605087685, 43.6483808266828], [-79.3583271260839, 43.6484549249511], [-79.3577787434757, 43.6486447488611], [-79.3575580218315, 43.6487160978882], [-79.3573840885051, 43.6487694031293], [-79.3572152628486, 43.6488223994373], [-79.3571272932891, 43.6488458190871], [-79.3570506789787, 43.6488586312617], [-79.3569334614495, 43.648863318355], [-79.3568215972111, 43.6488583535713], [-79.3566953214519, 43.6488459534903], [-79.3565967892174, 43.6488332550257], [-79.3564898391024, 43.6488157211785], [-79.3563873361278, 43.6487943132309], [-79.3562135378641, 43.648748898918], [-79.3560815835214, 43.6487007736096], [-79.3559710221572, 43.6486487415086], [-79.3558753823491, 43.6485878617714], [-79.3556658477181, 43.6484333950589], [-79.3555056628927, 43.6483152118324], [-79.3554294672444, 43.6482621424735], [-79.3553562545354, 43.6482161789134], [-79.3552014275433, 43.6481179940637], [-79.3550838727229, 43.6480469593639], [-79.3549929499163, 43.64799960491], [-79.3549289964363, 43.6479696212383], [-79.3548515447012, 43.6479340845538], [-79.3547744735512, 43.6479052633175]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
